respondent_id,education_level,study_hours_per_day,preferred_learning_method,main_learning_challenge,motivation_level,online_learning_opinion,device_used_for_study
1,Undergraduate,6,Practice exercises,Time management difficulty,Low,Online learning is flexible and convenient,Tablet
2,Postgraduate,1,Practice exercises,Academic workload pressure,High,Online learning is effective for theory-based subjects,Laptop
3,Graduate,1,Interactive discussion,Lack of concentration,Low,Online learning is effective for theory-based subjects,Laptop
4,Graduate,2,Video lectures,Internet connectivity issues,Medium,Online platforms provide access to diverse resources,Tablet
5,Graduate,3,Practice exercises,Difficulty understanding concepts,Medium,Online learning is flexible and convenient,Tablet
6,Postgraduate,6,Reading notes,Lack of concentration,High,Blended learning is more effective than fully online,Mobile
7,Postgraduate,2,Interactive discussion,Academic workload pressure,Medium,Online learning requires strong self-discipline,Mobile
8,Postgraduate,2,Interactive discussion,Low motivation,Low,Blended learning is more effective than fully online,Tablet
9,Postgraduate,4,Video lectures,Lack of concentration,Medium,Online learning is effective for theory-based subjects,Mobile
10,Graduate,1,Practice exercises,Lack of concentration,Low,Blended learning is more effective than fully online,Mobile
11,Undergraduate,4,Reading notes,Academic workload pressure,High,Online learning is flexible and convenient,Tablet
12,Postgraduate,2,Recorded tutorials,Academic workload pressure,High,Blended learning is more effective than fully online,Tablet
13,Graduate,1,Interactive discussion,Lack of concentration,Medium,Online learning is flexible and convenient,Tablet
14,Graduate,1,Video lectures,Low motivation,Low,Online platforms provide access to diverse resources,Laptop
15,Postgraduate,3,Video lectures,Academic workload pressure,Medium,Online learning is effective for theory-based subjects,Mobile
16,Undergraduate,2,Practice exercises,Lack of concentration,Medium,Online platforms provide access to diverse resources,Laptop
17,Graduate,5,Practice exercises,Difficulty understanding concepts,High,Online platforms provide access to diverse resources,Mobile
18,Graduate,1,Interactive discussion,Lack of concentration,Low,Online learning is effective for theory-based subjects,Tablet
19,Undergraduate,5,Reading notes,Academic workload pressure,High,Blended learning is more effective than fully online,Laptop
20,Graduate,2,Video lectures,Low motivation,High,Online platforms provide access to diverse resources,Laptop
21,Undergraduate,1,Video lectures,Internet connectivity issues,Low,Online learning requires strong self-discipline,Laptop
22,Postgraduate,2,Video lectures,Time management difficulty,Medium,Online learning is effective for theory-based subjects,Tablet
23,Undergraduate,4,Reading notes,Difficulty understanding concepts,High,Online learning is flexible and convenient,Laptop
24,Postgraduate,1,Reading notes,Time management difficulty,High,Blended learning is more effective than fully online,Tablet
25,Undergraduate,2,Interactive discussion,Internet connectivity issues,Low,Online learning is flexible and convenient,Tablet
26,Postgraduate,3,Interactive discussion,Lack of concentration,Medium,Online learning is flexible and convenient,Mobile
27,Undergraduate,5,Interactive discussion,Low motivation,High,Online learning is effective for theory-based subjects,Tablet
28,Postgraduate,1,Video lectures,Time management difficulty,Low,Online learning is effective for theory-based subjects,Tablet
29,Undergraduate,4,Practice exercises,Internet connectivity issues,Medium,Online learning requires strong self-discipline,Mobile
30,Undergraduate,2,Reading notes,Low motivation,Medium,Online learning is flexible and convenient,Laptop
31,Postgraduate,6,Recorded tutorials,Low motivation,Medium,Blended learning is more effective than fully online,Tablet
32,Postgraduate,1,Reading notes,Time management difficulty,Low,Online platforms provide access to diverse resources,Tablet
33,Undergraduate,4,Interactive discussion,Academic workload pressure,Medium,Online learning is effective for theory-based subjects,Mobile
34,Undergraduate,4,Reading notes,Low motivation,High,Online platforms provide access to diverse resources,Tablet
